name,slug,sport,level,state,city,venue,address,start_date,end_date,referee_pay,referee_contact,source_url,source_domain,summary,status,confidence,run_id,updated_at
West Regional - US Club Soccer Website,west-regional-us-club-soccer-website-temecula-ca,soccer,national,CA,Temecula,,,,,,,https://usclubsoccer.org/west-regional/,usclubsoccer.org,"VENUE Galway Downs Soccer Complex 38801 Los Corralitos Rd, Temecula, CA 92592 Field Map REGISTRATION Mark your calendars: Registration for all 2026 National Cup Regionals will open Jan. 5, and teams will be accepted on a first-come, first-served basis. Open Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
National Cup Finals - US Club Soccer Website,national-cup-finals-us-club-soccer-website-victory-waycommerce-city-co,soccer,national,CO,Victory WayCommerce City,,,,,,,https://usclubsoccer.org/national-cup-finals/,usclubsoccer.org,"The National Cup Finals is the culmination of qualifying from National Cup Regionals and state cups held all over the country. In 2026, the National Cup – US Club Soccer’s longest standing competition – will celebrate its 25th edition. VENUE Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
National Cup Finals champions archive / Doug Hamilton Memorial Trophy,national-cup-finals-champions-archive-doug-hamilton-memorial-trophy-years-us,soccer,national,US,years,,,,,,,https://usclubsoccer.org/programs/cups-tournaments/national-cup/national-cup-finals/national-cup-finals-champions-archive-doug-hamilton-memorial-trophy/,usclubsoccer.org,"Doug Hamilton Memorial Cup Doug Hamilton, the former president and general manager of the LA Galaxy, was well known for his impact in the sport. When he passed away in 2006, US Club Soccer named its National Cup Finals trophy Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
State Championships,state-championships-eastern-ny-nj,soccer,national,NJ,Eastern NY,,,,,,,https://usclubsoccer.org/state-cups/,usclubsoccer.org,"US Club Soccer’s state championship competitions allow clubs to develop a format as they see best in their respective state, which may include multiple competition levels, a home-and-home series, team seeding, as well as flexible schedule and roster rules.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Sanctioned Tournaments,sanctioned-tournaments-the-national-cup-and-state-championship-events-us,soccer,national,US,the National Cup and state championship events,,,,,,,https://usclubsoccer.org/programs/cups-tournaments/sanctioned-tournaments/,usclubsoccer.org,"In addition to operating competitions, such as NPL events, the National Cup and state championship events, US Club Soccer also sanctions tournaments for its members.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Attending a Tournament,attending-a-tournament-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/programs/cups-tournaments/sanctioned-tournaments/attending-a-tournament/,usclubsoccer.org,"US CLUB SOCCER MEMBERS ATTENDING A NON-US CLUB SOCCER-SANCTIONED TOURNAMENT: US Club Soccer member teams are free to travel to any “open/unrestricted” tournament (as nearly all are) sanctioned by a U.S. Soccer Federation affiliate member. Most tournaments are “unrestricted,” which Read More »",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Sanction a Tournament,sanction-a-tournament-but-is-not-limited-to-us,soccer,national,US,but is not limited to,,,,,,,https://usclubsoccer.org/sanction-a-tournament/,usclubsoccer.org,APPLY FOR US CLUB SOCCER SANCTIONING TOURNAMENT SANCTIONING: General Information: All tournament applications must be submitted by a US Club Soccer member club no later than 60 days prior to the start of the tournament.  All tournaments must comply with Read More »,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Player Identification,player-identification-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/player-identification/,usclubsoccer.org,"US Club Soccer offers a pair of integrated player identification and development platforms, both of which are Olympic Development Programs by the U.S. Soccer Federation and U.S. Olympic Committee.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
id2 Program,id2-program-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/id2/,usclubsoccer.org,"Established in 2004, US Club Soccer’s id2 National Identification and Development Program provides an opportunity for the country’s elite youth soccer players to be identified and developed, and scouted for inclusion in U.S. Soccer’s National Team programs. id2 Program directors Gerry McKeown (boys) and Tricia Taliaferro (girls) implement curriculum and direct activities.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
The Process,the-process-s-talent-identification-regions-us,soccer,national,US,s talent identification regions,,,,,,,https://usclubsoccer.org/programs/player-identification/id2-program/the-process/,usclubsoccer.org,Targeted birth years are established every year in consultation with U.S. Soccer in order to align with the scouting priorities for the U-14 National Teams. The steps below outline the process once targeted birth years are established.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Recommend a Player,recommend-a-player-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/recommend-a-player/,usclubsoccer.org,Any club’s Director of Coaching is able to recommend players with national team potential for inclusion at an id2 Training Camp.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Events,events-events-within-the-npl-ec,soccer,national,EC,events within the NPL,,,,,,,https://usclubsoccer.org/id2-events/,usclubsoccer.org,Take a look at our past and current events with our id2 events!,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Player Development Program,player-development-program-additionally-us,soccer,national,US,Additionally,,,,,,,https://usclubsoccer.org/pdp/,usclubsoccer.org,US Club Soccer’s Player Development Programs (PDPs) are regionally based identification and developmental programs conducted within the id2 Program umbrella. PDPs are focused around the National Premier Leagues (NPL) and other top leagues in specific geographic areas.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Education,education-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/education/,usclubsoccer.org,"US Club Soccer believes educational resources should be accessible, affordable and inclusive in the soccer community.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Players First,players-first-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/playersfirst/,usclubsoccer.org,"Players First is a branded, holistic club soccer experience for parents and players, which emphasizes the development of each individual to his or her full potential, and helps parents make better choices about where their children should play.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Coach Education,coach-education-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/coach-education/,usclubsoccer.org,"The mission of US Club Soccer's coach education efforts is to provide its members with accessible, affordable and relevant educational opportunities and resources through inclusive programming that supports the holistic development of our players, coaches and clubs.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
U.S. Soccer Education,u-s-soccer-education-regardless-of-where-you-are-in-your-coaching-journey-us,soccer,national,US,Regardless of where you are in your coaching journey,,,,,,,https://usclubsoccer.org/ussoccer-coach-education/,usclubsoccer.org,US Club Soccer facilitates opportunities to meet the various levels and goals of coaches throughout the country.,unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
Courses,courses-mount-pleasant-sc,soccer,national,SC,Mount Pleasant,,,,,,,https://usclubsoccer.org/programs/coach-education/us-soccer-education/courses/,usclubsoccer.org,"For all courses, click on the “Learn More” button on the back of each flip box below, which will direct you to U.S. Soccer’s Learning Center to view courses in your area hosted by US Club Soccer and its member organizations. Once in the Learning Center, filter the “Host” category by selecting US Club Soccer.",unconfirmed,,20251217_180827_PST,2025-12-17 18:08:27 PST
